,index,Player,Nation,Main_Pos,Sec_Pos,Squad,40_yds_pass,Blocks,Clr,CrsPA,Def 3rd,Dribblers_Tackel%,Err,Int,Live_Touches_in_Game,Long_Att,Long_Cmp,Long_Cmp%,Lost,Medium_Att,Medium_Cmp,Medium_Cmp%,Mid 3rd,Pass,PrgDist,PrgP,Sh,Short_Att,Short_Cmp,Short_Cmp%,Tkl+Int,TklW,Total Tackels,Touches,Touches_Def_3rd_Area,Touches_Def_Pen_Area,Touches_Mid_3rd_Area,DBSCAN,HDBSCAN,GMM,MeanShift
376,2493,Wataru Endo,JP,MF,MF,Stuttgart,10.0,44.0,63.0,1.0,30.0,44.7,0.0,26.0,1873.0,191.0,130.0,68.1,47.0,599.0,513.0,85.6,31.0,38.0,6187.0,171.0,6.0,606.0,498.0,82.2,96.0,37.0,70.0,1873.0,507.0,108.0,1013.0,-1,1,2,2
389,2564,Nicolas Höfler,DE,MF,MF,Freiburg,4.0,40.0,49.0,0.0,28.0,44.3,0.0,58.0,1690.0,125.0,88.0,70.4,34.0,609.0,534.0,87.7,35.0,27.0,5565.0,110.0,13.0,554.0,478.0,86.3,124.0,35.0,66.0,1690.0,474.0,100.0,1027.0,-1,1,2,2
393,2601,Atakan Karazor,DE,MF,MF,Stuttgart,9.0,39.0,44.0,0.0,18.0,51.1,0.0,31.0,1349.0,105.0,75.0,71.4,23.0,498.0,444.0,89.2,25.0,28.0,4393.0,79.0,11.0,468.0,407.0,87.0,80.0,30.0,49.0,1349.0,415.0,79.0,802.0,-1,-1,2,2
395,2609,Joshua Kimmich,DE,MF,MF,Bayern Munich,10.0,36.0,39.0,4.0,24.0,52.8,2.0,41.0,3072.0,512.0,306.0,59.8,34.0,1151.0,1036.0,90.0,46.0,29.0,14050.0,315.0,7.0,1017.0,954.0,93.8,119.0,49.0,78.0,3073.0,618.0,115.0,1669.0,13,1,2,2
423,2808,Ellyes Skhiri,TN,MF,MF,Köln,9.0,52.0,48.0,2.0,29.0,39.4,0.0,56.0,2056.0,152.0,126.0,82.9,40.0,804.0,739.0,91.9,42.0,40.0,8222.0,155.0,12.0,688.0,615.0,89.4,135.0,44.0,79.0,2056.0,583.0,105.0,1207.0,-1,1,2,2
433,2900,Edson Álvarez,MX,MF,DF,Ajax,13.0,36.0,76.0,1.0,40.0,61.1,1.0,36.0,2811.0,205.0,147.0,71.7,28.0,1160.0,1069.0,92.2,26.0,23.0,12004.0,223.0,13.0,968.0,880.0,90.9,107.0,40.0,71.0,2811.0,864.0,188.0,1582.0,14,1,2,2
440,2995,Jordy Clasie,NL,MF,MF,AZ Alkmaar,20.0,42.0,46.0,3.0,28.0,51.6,1.0,49.0,2348.0,305.0,226.0,74.1,30.0,806.0,733.0,90.9,34.0,27.0,10064.0,245.0,15.0,880.0,802.0,91.1,115.0,40.0,66.0,2348.0,513.0,104.0,1454.0,-1,1,2,2
453,3084,Thom Haye,NL,MF,MF,Heerenveen,36.0,34.0,37.0,8.0,37.0,57.3,1.0,45.0,2333.0,494.0,307.0,62.1,35.0,797.0,654.0,82.1,38.0,25.0,11402.0,236.0,9.0,614.0,542.0,88.3,127.0,54.0,82.0,2333.0,495.0,78.0,1346.0,-1,1,2,2
454,3090,Mees Hoedemakers,NL,MF,MF,Cambuur,20.0,34.0,52.0,2.0,25.0,51.6,1.0,35.0,1481.0,195.0,123.0,63.1,31.0,457.0,394.0,86.2,37.0,24.0,4927.0,149.0,10.0,432.0,375.0,86.8,102.0,37.0,67.0,1481.0,374.0,81.0,874.0,-1,1,2,2
465,3193,Melle Meulensteen,NL,MF,DF,Vitesse,8.0,41.0,79.0,2.0,21.0,54.3,2.0,34.0,1952.0,238.0,148.0,62.2,16.0,743.0,671.0,90.3,21.0,19.0,9999.0,157.0,22.0,585.0,531.0,90.8,82.0,34.0,48.0,1952.0,703.0,151.0,1057.0,5,1,2,2
476,3295,Ibrahim Sangaré,CI,MF,MF,PSV Eindhoven,7.0,38.0,48.0,4.0,32.0,57.5,1.0,22.0,1885.0,166.0,113.0,68.1,17.0,643.0,570.0,88.6,30.0,27.0,7344.0,194.0,11.0,660.0,575.0,87.1,90.0,34.0,68.0,1885.0,435.0,92.0,1101.0,3,1,2,2
477,3302,Lasse Schöne,DK,MF,MF,NEC Nijmegen,5.0,31.0,47.0,3.0,19.0,53.4,0.0,38.0,2086.0,216.0,115.0,53.2,27.0,644.0,567.0,88.0,19.0,15.0,9169.0,175.0,16.0,852.0,775.0,91.0,83.0,22.0,45.0,2086.0,492.0,101.0,1233.0,-1,1,2,2
489,3370,Keziah Veendorp,NL,MF,DF,Emmen,14.0,31.0,72.0,2.0,29.0,57.4,1.0,30.0,2127.0,287.0,167.0,58.2,26.0,651.0,553.0,84.9,20.0,21.0,9092.0,161.0,10.0,823.0,741.0,90.0,82.0,30.0,52.0,2127.0,633.0,131.0,1230.0,5,1,2,2
496,3412,Ramiz Zerrouki,DZ,MF,MF,Twente,50.0,47.0,38.0,5.0,35.0,51.4,0.0,53.0,2537.0,374.0,265.0,70.9,36.0,879.0,770.0,87.6,49.0,40.0,9826.0,262.0,7.0,827.0,753.0,91.1,148.0,56.0,95.0,2537.0,509.0,94.0,1475.0,21,1,2,2
498,3420,Adriano,BR,MF,DF,Santa Clara,6.0,34.0,52.0,1.0,19.0,62.0,0.0,26.0,1230.0,178.0,108.0,60.7,19.0,411.0,365.0,88.8,30.0,21.0,5668.0,83.0,13.0,348.0,304.0,87.4,76.0,31.0,50.0,1230.0,458.0,119.0,693.0,-1,1,2,2
516,3524,Vitor Carvalho,BR,MF,MF,Gil Vicente FC,12.0,26.0,48.0,1.0,40.0,62.5,0.0,43.0,2142.0,204.0,147.0,72.1,24.0,808.0,722.0,89.4,38.0,18.0,6957.0,192.0,8.0,696.0,620.0,89.1,126.0,45.0,83.0,2142.0,484.0,84.0,1333.0,-1,1,2,2
553,3833,Rui Pires,PT,MF,MF,Paços,14.0,38.0,60.0,1.0,29.0,58.8,1.0,37.0,1383.0,170.0,129.0,75.9,21.0,542.0,498.0,91.9,25.0,22.0,6078.0,101.0,16.0,415.0,362.0,87.2,96.0,42.0,59.0,1383.0,475.0,91.0,797.0,-1,1,2,2
570,3952,Mateus Uribe,CO,MF,MF,Porto,15.0,34.0,42.0,2.0,35.0,49.3,1.0,51.0,2071.0,288.0,205.0,71.2,36.0,695.0,597.0,85.9,33.0,30.0,9342.0,221.0,4.0,716.0,647.0,90.4,124.0,46.0,73.0,2073.0,461.0,80.0,1259.0,-1,1,2,2
